City
1;New York
2;Houston
3;San Francisco
4;Los Angeles
5;Chicago
6;Dallas
7;Philadelphia
8;Las Vegas
9;Denver
10;Seattle
11;Miami
12;Minneapolis
13;Billings
14;Knoxville
15;Omaha
16;Birmingham
17;Portland
18;Anchorage
19;Honolulu
20;Orlando
21;Albany
22;Cheyenne
23;Richmond
24;Detroit
25;St. Louis
26;Salt Lake City
27;New Orleans
28;Boise
29;Phoenix
30;Albuquerque
31;Atlanta
32;Charleston
33;Charlotte
34;Columbus
35;Louisville
36;Jackson
37;Little Rock
38;Oklahoma City
39;Wichita
40;Sioux Falls
41;Fargo
42;Des Moines
43;Milwaukee
44;Indianapolis
45;Baltimore
46;Wilmington
47;Newark
48;Hartford
49;Providence
50;Boston
51;Burlington
52;Manchester
