Retailer_Id;Invoice_Date;Id_Region;State;Id_City;Product;Id_Family;Id_Gender;Id_Category;Id_Product_Method;Id_Primary Color;IdPrice per_Unit;Units Sold;Operating Margin;Id_Sales_Method
1185732;17/8/2021;1;42;32;Men's Accesories;1;1;4;1;5;38;87;0.52;3
1185732;17/8/2021;1;42;32;Men's Accesories;1;1;4;1;5;36;72;0.51;3
1185732;17/8/2021;1;42;32;Men's Accesories;1;1;4;1;5;54;115;0.54;3
1185732;18/9/2021;1;42;32;Men's Accesories;1;1;4;1;5;24;68;0.54;3
1185732;18/9/2021;1;42;32;Men's Accesories;1;1;4;1;5;23;59;0.5;3
1185732;18/9/2021;1;42;32;Men's Accesories;1;1;4;1;5;32;61;0.52;3
1185732;17/10/2021;1;42;32;Men's Accesories;1;1;4;1;5;32;80;0.52;3
1185732;17/10/2021;1;42;32;Men's Accesories;1;1;4;1;5;32;47;0.53;3
1185732;17/10/2021;1;42;32;Men's Accesories;1;1;4;1;5;41;53;0.55;3
1185732;17/11/2021;1;42;32;Men's Accesories;1;1;4;1;5;33;95;0.53;3
1185732;17/11/2021;1;42;32;Men's Accesories;1;1;4;1;5;38;91;0.55;3
1185732;16/12/2021;1;42;32;Men's Accesories;1;1;4;1;5;60;176;0.52;3
1185732;16/12/2021;1;42;32;Men's Accesories;1;1;4;1;5;68;122;0.55;3
1185732;24/1/2021;1;42;32;Men's Accesories;1;1;4;1;5;34;68;0.47;3
1185732;24/1/2021;1;42;32;Men's Accesories;1;1;4;1;5;42;33;0.43;3
1185732;24/1/2021;1;42;32;Men's Accesories;1;1;4;1;5;33;59;0.4;3
1185732;22/2/2021;1;42;32;Men's Accesories;1;1;4;1;5;24;46;0.47;3
1185732;22/2/2021;1;43;45;Men's Accesories;1;1;4;1;5;28;14;0.5;3
1185732;22/2/2021;1;43;45;Men's Accesories;1;1;4;1;5;34;63;0.43;3
1185732;20/3/2021;1;43;45;Men's Accesories;1;1;4;1;5;32;125;0.53;3
1185732;20/3/2021;1;43;45;Men's Accesories;1;1;4;1;5;29;7;0.46;3
1185732;21/4/2021;1;43;45;Men's Accesories;1;1;4;1;5;32;31;0.47;3
1185732;21/4/2021;1;43;45;Men's Accesories;1;1;4;1;5;24;33;0.49;3
1185732;20/5/2021;1;43;45;Men's Accesories;1;1;4;1;5;36;38;0.48;3
1185732;22/6/2021;1;43;45;Men's Accesories;1;1;4;1;5;37;44;0.5;3
1185732;20/7/2021;1;43;45;Men's Accesories;1;1;4;1;5;42;72;0.48;3
1185732;20/7/2021;1;43;45;Men's Accesories;1;1;4;1;5;46;51;0.45;3
1185732;21/8/2021;1;43;45;Men's Accesories;1;1;4;1;5;48;135;0.53;3
1185732;21/11/2021;1;43;45;Men's Accesories;1;1;4;1;5;45;51;0.47;3
1185732;17/1/2021;1;43;45;Men's Accesories;1;1;4;1;5;49;59;0.42;3
1185732;17/1/2021;1;43;45;Men's Accesories;1;1;4;1;5;36;81;0.51;3
1185732;15/2/2021;1;43;45;Men's Accesories;1;1;4;1;5;39;144;0.5;3
1185732;15/2/2021;1;43;45;Men's Accesories;1;1;4;1;5;27;69;0.51;3
1185732;15/2/2021;1;44;46;Men's Accesories;1;1;4;1;5;33;45;0.55;3
1185732;13/3/2021;1;44;46;Men's Accesories;1;1;4;1;5;32;31;0.53;3
1185732;13/3/2021;1;44;46;Men's Accesories;1;1;4;1;5;46;49;0.41;3
1185732;13/3/2021;1;44;46;Men's Accesories;1;1;4;1;5;39;72;0.5;3
1185732;14/4/2021;1;44;46;Men's Accesories;1;1;4;1;5;38;61;0.47;3
1185732;14/4/2021;1;44;46;Men's Accesories;1;1;4;1;5;27;59;0.55;3
1185732;14/4/2021;1;44;46;Men's Accesories;1;1;4;1;5;32;44;0.51;3
1185732;14/4/2021;1;44;46;Men's Accesories;1;1;4;1;5;47;45;0.45;3
1185732;14/4/2021;1;44;46;Men's Accesories;1;1;4;1;5;38;78;0.54;3
1185732;13/5/2021;1;44;46;Men's Accesories;1;1;4;1;5;41;81;0.52;3
1185732;13/5/2021;1;44;46;Men's Accesories;1;1;4;1;5;54;104;0.55;3
1185732;15/6/2021;1;44;46;Men's Accesories;1;1;4;1;5;41;75;0.55;3
1185732;13/7/2021;1;44;46;Men's Accesories;1;1;4;1;5;41;102;0.54;3
1185732;13/7/2021;1;44;46;Men's Accesories;1;1;4;1;4;55;145;0.5;3
1185732;13/9/2021;1;44;46;Men's Accesories;1;1;4;1;4;50;60;0.44;3
1185732;14/11/2021;1;44;46;Men's Accesories;1;1;4;1;4;53;85;0.46;3
1185732;13/12/2021;1;44;46;Men's Accesories;1;1;4;1;4;50;100;0.48;3
1185732;10/1/2021;1;44;46;Men's Accesories;1;1;4;1;4;33;77;0.47;3
1185732;6/3/2021;1;45;47;Men's Accesories;1;1;4;1;4;32;58;0.49;3
1185732;7/4/2021;1;45;47;Men's Accesories;1;1;4;1;4;33;68;0.54;3
1185732;6/5/2021;1;45;47;Men's Accesories;1;1;4;1;4;47;68;0.41;3
1185732;8/6/2021;1;45;47;Men's Accesories;1;1;4;1;4;44;105;0.46;3
1185732;6/12/2021;1;45;47;Men's Accesories;1;1;4;1;4;55;149;0.48;3
1185732;6/12/2021;1;45;47;Men's Accesories;1;1;4;1;4;49;105;0.48;3
1185732;6/12/2021;1;45;47;Men's Accesories;1;1;4;1;4;49;91;0.5;3
1185732;6/12/2021;1;45;47;Men's Accesories;1;1;4;1;4;55;83;0.45;3
1185732;7/1/2021;1;45;47;Men's Accesories;1;1;4;1;4;37;87;0.52;3
1185732;4/4/2021;1;46;48;Men's Accesories;1;1;4;1;4;38;58;0.55;3
1185732;3/5/2021;1;46;48;Men's Accesories;1;1;4;1;4;50;70;0.44;3
1185732;8/6/2021;1;47;49;Men's Accesories;1;1;4;1;4;39;60;0.54;3
1185732;8/6/2021;1;47;49;Men's Accesories;1;1;4;1;4;48;58;0.41;3
1185732;8/6/2021;1;47;49;Men's Accesories;1;1;4;1;4;51;88;0.51;3
1185732;6/7/2021;1;47;49;Men's Accesories;1;1;4;1;4;47;63;0.4;3
1185732;7/8/2021;1;47;49;Men's Accesories;1;1;4;1;4;42;91;0.47;3
1185732;14/4/2021;1;48;50;Men's Accesories;1;1;4;1;4;37;45;0.44;3
1185732;14/4/2021;1;48;50;Men's Accesories;1;1;4;1;4;32;35;0.39;3
1185732;14/4/2021;1;48;50;Men's Accesories;1;1;4;1;4;39;83;0.44;3
1185732;13/5/2021;1;48;50;Men's Accesories;1;1;4;1;4;53;129;0.43;3
1185732;13/5/2021;1;48;50;Men's Accesories;1;1;4;1;4;47;54;0.43;3
1185732;13/5/2021;1;48;50;Men's Accesories;1;1;4;1;4;50;54;0.38;3
1185732;15/6/2021;1;48;50;Men's Accesories;1;1;4;1;4;47;94;0.42;3
1185732;13/7/2021;1;48;50;Men's Accesories;1;1;4;1;4;41;77;0.37;3
1185732;13/9/2021;1;48;50;Men's Accesories;1;1;4;1;4;57;63;0.45;3
1185732;15/10/2021;1;48;50;Men's Accesories;1;1;4;1;4;53;56;0.45;3
1185732;15/10/2021;1;48;50;Men's Accesories;1;1;4;1;4;54;27;0.38;3
1185732;15/10/2021;1;48;50;Men's Accesories;1;1;4;1;4;62;27;0.35;3
1185732;15/10/2021;1;48;50;Men's Accesories;1;1;4;1;4;66;65;0.44;3
1185732;14/11/2021;1;48;50;Men's Accesories;1;1;4;1;4;62;113;0.43;3
1185732;14/11/2021;1;48;50;Men's Accesories;1;1;4;1;4;52;90;0.44;3
1185732;14/11/2021;1;48;50;Men's Accesories;1;1;4;1;4;50;83;0.36;3
